FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Year
2022-04-04,Envoy Air,Envoy Air: MQ,MQ,20398,4065,DFW,"Dallas/Fort Worth, TX",CRP,"Corpus Christi, TX",2119,,,,,,,2242,,,CANCELLED,B,NOT DIVERTED,83.0,,,354.0,,,,,,2022
2022-08-17,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,508,DFW,"Dallas/Fort Worth, TX",FAT,"Fresno, CA",2234,,,,,,,2359,,,CANCELLED,B,NOT DIVERTED,205.0,,,1313.0,,,,,,2022
2022-12-24,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,829,ABQ,"Albuquerque, NM",LAS,"Las Vegas, NV",2105,,,,,,,2145,,,CANCELLED,A,NOT DIVERTED,100.0,,,486.0,,,,,,2022
2022-05-29,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,935,BWI,"Baltimore, MD",MSY,"New Orleans, LA",2030,,,,,,,2212,,,CANCELLED,A,NOT DIVERTED,162.0,,,998.0,,,,,,2022
2022-05-27,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,482,CLT,"Charlotte, NC",LAX,"Los Angeles, CA",1830,,,,,,,2043,,,CANCELLED,A,NOT DIVERTED,313.0,,,2125.0,,,,,,2022
2022-07-14,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2742,SMF,"Sacramento, CA",LAS,"Las Vegas, NV",1815,,,,,,,1935,,,CANCELLED,B,NOT DIVERTED,80.0,,,397.0,,,,,,2022
2022-01-28,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2382,LAS,"Las Vegas, NV",JFK,"New York, NY",2301,,,,,,,649,,,CANCELLED,B,NOT DIVERTED,288.0,,,2248.0,,,,,,2022
2022-01-07,JetBlue Airways,JetBlue Airways: B6,B6,20409,125,JFK,"New York, NY",TPA,"Tampa, FL",1105,,,,,,,1415,,,CANCELLED,B,NOT DIVERTED,190.0,,,1005.0,,,,,,2022
2022-10-03,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,769,MDW,"Chicago, IL",RSW,"Fort Myers, FL",1940,,,,,,,2325,,,CANCELLED,B,NOT DIVERTED,165.0,,,1105.0,,,,,,2022
2022-01-03,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3644,DTW,"Detroit, MI",EWR,"Newark, NJ",2255,,,,,,,36,,,CANCELLED,A,NOT DIVERTED,101.0,,,488.0,,,,,,2022
2022-12-22,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5077,DDC,"Dodge City, KS",LBL,"Liberal, KS",1041,,,,,,,1125,,,CANCELLED,B,NOT DIVERTED,44.0,,,74.0,,,,,,2022
2022-01-03,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5455,DCA,"Washington, DC",SAV,"Savannah, GA",1751,,,,,,,1954,,,CANCELLED,B,NOT DIVERTED,123.0,,,519.0,,,,,,2022
