FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Year
2022-07-21,Envoy Air,Envoy Air: MQ,MQ,20398,3959,MIA,"Miami, FL",TPA,"Tampa, FL",1000,957.0,-3.0,10.0,1007.0,1047.0,7.0,1107,1054.0,-13.0,NOT CANCELLED,NOT DIVERTED,67.0,57.0,40.0,204.0,,,,,,2022
2022-06-03,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2820,BNA,"Nashville, TN",DAL,"Dallas, TX",1330,1354.0,24.0,14.0,1408.0,1542.0,4.0,1530,1546.0,16.0,NOT CANCELLED,NOT DIVERTED,120.0,112.0,94.0,623.0,0.0,0.0,15.0,0.0,1.0,2022
2022-09-01,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2944,MCO,"Orlando, FL",BWI,"Baltimore, MD",615,612.0,-3.0,7.0,619.0,801.0,5.0,825,806.0,-19.0,NOT CANCELLED,NOT DIVERTED,130.0,114.0,102.0,787.0,,,,,,2022
2022-09-06,Envoy Air,Envoy Air: MQ,MQ,20398,3992,DFW,"Dallas/Fort Worth, TX",XNA,"Fayetteville, AR",829,834.0,5.0,24.0,858.0,949.0,6.0,944,955.0,11.0,NOT CANCELLED,NOT DIVERTED,75.0,81.0,51.0,280.0,,,,,,2022
2022-06-21,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1636,CLT,"Charlotte, NC",DEN,"Denver, CO",1730,1726.0,-4.0,12.0,1738.0,1831.0,8.0,1853,1839.0,-14.0,NOT CANCELLED,NOT DIVERTED,203.0,193.0,173.0,1337.0,,,,,,2022
2022-09-05,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3451,SEA,"Seattle, WA",SBP,"San Luis Obispo, CA",1443,1439.0,-4.0,14.0,1453.0,1654.0,4.0,1710,1658.0,-12.0,NOT CANCELLED,NOT DIVERTED,147.0,139.0,121.0,847.0,,,,,,2022
2022-02-26,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1664,LGA,"New York, NY",MIA,"Miami, FL",1759,1828.0,29.0,16.0,1844.0,2120.0,20.0,2134,2140.0,6.0,NOT CANCELLED,NOT DIVERTED,215.0,192.0,156.0,1096.0,,,,,,2022
2022-06-14,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,4649,MSP,"Minneapolis, MN",JFK,"New York, NY",1443,1433.0,-10.0,18.0,1451.0,1805.0,24.0,1839,1829.0,-10.0,NOT CANCELLED,NOT DIVERTED,176.0,176.0,134.0,1029.0,,,,,,2022
2022-06-16,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5476,TUL,"Tulsa, OK",IAH,"Houston, TX",1527,1530.0,3.0,12.0,1542.0,1653.0,7.0,1713,1700.0,-13.0,NOT CANCELLED,NOT DIVERTED,106.0,90.0,71.0,429.0,,,,,,2022
2022-12-16,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,803,IAH,"Houston, TX",MCO,"Orlando, FL",1733,1738.0,5.0,16.0,1754.0,2042.0,10.0,2100,2052.0,-8.0,NOT CANCELLED,NOT DIVERTED,147.0,134.0,108.0,854.0,,,,,,2022
